56.107,13.3589,38.1918651354,9.9236718243,49.6538,32.9138,23.6126673053,20.0038635882
58.271,13.6419,41.243255814,12.3102325581,55.2795,33.0586,24.7302325581,21.8775193798
55.7057,16.034,40.190730421,11.8763873503,53.0164,34.3691,24.1123762991,21.1630075509
32.67,7.38441,52.7291818182,19.322,87.8192,48.6912,12.7473636364,16.3734545455
37.8188,22.6466,49.4192962069,17.6573139751,80.7564,43.6864,8.9274332982,9.6407285355
41.3104,7.23473,52.7197003658,15.5456713428,83.0782,42.2327,12.8134984797,19.1739661116
66.4629,13.0281,45.1610270894,14.4157709421,58.0319,39.1153,14.2217977755,13.7782056794
69.6816,12.956,43.5628001321,11.7985045406,51.8122,40.6172,9.6741283754,18.4300448724
53.5556,4.71656,48.1928831499,18.6949598401,64.6164,45.6712,13.670071751,14.0375975399
22.7298,6.80596,53.0166566731,21.8010105453,96.3069,49.6763,8.5480285683,10.3429128008
18.9741,4.97253,52.7124632563,20.4535330223,92.5277,45.7561,8.0110231016,9.7672120628
36.763,7.98047,48.7143257792,16.8887402964,82.7131,41.6069,12.5451047432,15.6850948117
18.8125,8.88507,57.9259813756,23.6046333896,94.3857,49.7111,14.9631202305,19.7599758164
21.2203,5.41216,57.5108227061,24.3891483932,87.5559,48.2259,18.7707731212,55.4078674727
24.2362,9.84184,42.0073013837,17.9495621459,76.1322,40.9323,9.0951340678,32.1663670863
44.4339,9.55122,44.6773736116,19.5474253344,80.6414,45.3664,17.0617543454,17.9739868424
21.5657,14.6873,51.7214533115,23.4642329214,90.5106,46.415,9.8992115228,13.620954215
41.6838,10.9391,47.2697959802,19.5870969882,79.8729,44.7202,16.1158522729,49.4924055812
30.2365,4.67865,46.9168750082,19.7247651651,82.5476,50.8598,9.9679101586,14.480829695
73.7348,12.6596,43.8608486532,16.4167446128,69.6654,35.7315,13.6555880219,44.7676825321
18.6795,12.0324,45.6197425391,20.1114006744,77.7581,52.67,8.2913345268,22.8055805864
32.9876,8.90776,47.7341622729,19.767741091,83.3088,48.2028,12.2025676158,27.9974005983
